method,time,recall@1000,Experiment,recall@10000
Method 1: Direct INT3,0.5963363647460938,1.0,10k DB,
Method 2: AvgPooling + INT3,0.5548715591430664,0.99678,10k DB,
Method 3: PCA + INT3,0.6237664222717285,0.94216,10k DB,
Method 4: UMAP + INT3,16.241464376449585,0.73215,10k DB,
Method 5: AutoEncoder + INT3,8.665438413619995,0.99103,10k DB,
Method 1: Direct INT3,5.961756229400635,0.99999,100k DB,1.0
Method 2: AvgPooling + INT3,5.023635625839233,0.95913,100k DB,0.99998
Method 3: PCA + INT3,4.575347185134888,0.90839,100k DB,0.99756
Method 4: UMAP + INT3,90.44562721252441,0.15838,100k DB,0.72625
Method 5: AutoEncoder + INT3,76.77417731285095,0.88772,100k DB,0.99873
Method 1: Direct INT3,44.359344244003296,0.99989,1M DB,1.0
Method 2: AvgPooling + INT3,39.670944690704346,0.86528,1M DB,0.99824
Method 3: PCA + INT3,37.07049226760864,0.86699,1M DB,0.9924
Method 4: UMAP + INT3,351.285457611084,0.0228,1M DB,0.16554
Method 5: AutoEncoder + INT3,763.6568143367767,0.43584,1M DB,0.80875
