Dimension,Method,Recall@100,Time
128,AvgPooling,0.80336,4.8867456912994385
128,PCA,0.32961,4.09827733039856
112,AvgPooling,0.61198,4.441835880279541
112,PCA,0.36468,3.8642385005950928
96,AvgPooling,0.56645,4.235366344451904
96,PCA,0.40263,3.6693272590637207
80,AvgPooling,0.5259,3.942814588546753
80,PCA,0.43693,3.495201349258423
64,AvgPooling,0.46419,3.555858612060547
64,PCA,0.47112,3.2592194080352783
48,AvgPooling,0.36922,3.316763162612915
48,PCA,0.47916,3.185699939727783
32,AvgPooling,0.21979,3.087963581085205
32,PCA,0.44627,2.841489553451538
16,AvgPooling,0.06931,2.5676910877227783
16,PCA,0.28637,2.6404054164886475
