Dimension,Mean_Abs_Diff,Explained_Variance
1,0.13110259639263153,0.31464815
2,0.23725859154701232,0.08049285
3,0.27992807347774507,0.054465998
4,0.38549551290512085,0.033688277
5,0.3812113552904129,0.03141726
6,0.4394884578323364,0.024284668
7,0.4996374253082275,0.020628428
8,0.46585383377075196,0.018973848
9,0.4744174663066864,0.018099686
10,0.50642720287323,0.017542446
11,0.5223647766971589,0.016385239
12,0.5241188236522675,0.016274722
13,0.5148869563865661,0.014653773
14,0.5520146260070801,0.013801805
15,0.5230893828868866,0.012409614
16,0.5848391922187806,0.011330404
17,0.5734091881942749,0.0105589125
18,0.5779122189617157,0.010185397
19,0.5841324085521697,0.00991533
20,0.6112031159114838,0.009581798
21,0.6298470246124268,0.0092885895
22,0.6377892293357849,0.008821086
23,0.6493139340686798,0.008352078
24,0.6407449846458435,0.0078095384
25,0.6592219882202148,0.007579866
26,0.7092847590065002,0.0067003905
27,0.6852662347793579,0.0066544935
28,0.6970986348152161,0.006468278
29,0.6987067996788024,0.0063045546
30,0.7015617104434967,0.0061003696
31,0.6920530447006226,0.0059908764
32,0.6807506042766571,0.005893553
33,0.7050497391223908,0.005850128
34,0.6921748195457459,0.005497153
35,0.7164954703998566,0.0051104077
36,0.7273485447025299,0.0048936284
37,0.715966465139389,0.0046931193
38,0.7416120381641388,0.004519375
39,0.7799022962474823,0.0043372866
40,0.7569025640106202,0.0040888223
41,0.7535613000011444,0.0039999094
42,0.7596421348953247,0.003937728
43,0.7524080970096588,0.003826738
44,0.7712721965026855,0.0037465866
45,0.7756210720443726,0.0035883968
46,0.7617796657180786,0.0034491883
47,0.7518088038349151,0.0034304908
48,0.7703269453716278,0.003349064
49,0.7727665379714966,0.0033046883
50,0.7972988656044007,0.0030719705
51,0.7698559485816956,0.0030199839
52,0.7963203138160706,0.0028601
53,0.806322231464386,0.0028392598
54,0.7993496699523925,0.0027718898
55,0.8100232978248596,0.0026566868
56,0.7722786289405823,0.0025407367
57,0.8077232098960877,0.0025291194
58,0.8231259303665162,0.0024717906
59,0.8210480056762696,0.0024299105
60,0.7791896092319488,0.0023723855
61,0.8125022744178771,0.0022706995
62,0.8452968412399292,0.0022252647
63,0.8570536995220185,0.0021921666
64,0.8503845480918885,0.0020625542
65,0.8279250544929504,0.0020366185
66,0.8597967276573181,0.001970955
67,0.8694282962608337,0.0019374749
68,0.8536205717658997,0.0018573496
69,0.8671234146308899,0.001838545
70,0.8437184696197509,0.0017579575
71,0.8515530584526062,0.0016875787
72,0.8315132542800904,0.0016482174
73,0.848784317111969,0.0016431356
74,0.8473935817337036,0.0016053875
75,0.8708898355865479,0.0015650613
76,0.8519536306571961,0.001517302
77,0.8669021410179139,0.0014619132
78,0.8635557008934021,0.0014489206
79,0.8960595166587829,0.0013636051
80,0.8624536465454101,0.0013538942
81,0.8995166777610779,0.0013325154
82,0.868806219367981,0.0013086626
83,0.8778982655715942,0.0012865693
84,0.8979516788101196,0.0012634523
85,0.8793630717182159,0.0012388676
86,0.9048379197502137,0.00120553
87,0.8884562214279175,0.0011627097
88,0.8999279900360108,0.0011533267
89,0.9106191921615601,0.0011322186
90,0.8925438057899475,0.0011103519
91,0.8678238913917542,0.0010533732
92,0.8968603841018676,0.0010376485
93,0.8690804107666016,0.0010296049
94,0.9107034754562378,0.0009936953
95,0.9209156373405456,0.0009859279
96,0.8731384200668335,0.0009785943
97,0.9121483724784851,0.0009545344
98,0.8823978751564026,0.00094547647
99,0.9114474199676513,0.0009257997
100,0.9214907568740844,0.0008841198
101,0.9186803476142883,0.0008461687
102,0.8955716872215271,0.0008210974
103,0.9262425162506104,0.0008137886
104,0.9092366538238525,0.00079295464
105,0.942112022857666,0.0007834752
106,0.911855975933075,0.00078319944
107,0.927955292892456,0.00074177247
108,0.9365126774024963,0.000709491
109,0.9256286108398437,0.0007053
110,0.9235373892211914,0.0006392932
111,0.9652888849830628,0.00061531324
112,0.9430831169128417,0.0005956256
113,0.9172393357658386,0.0005938232
114,0.9420302509498596,0.0005673573
115,0.9226984705924988,0.00055687845
116,0.9320884482002258,0.0005288345
117,0.9203551994132996,0.0005263791
118,0.929765555896759,0.0005122008
119,0.9603371608161926,0.00048831705
120,0.9374141772842407,0.0004828912
121,0.9102865629005432,0.00046821928
122,0.9605336384010315,0.00045401393
123,0.959337167263031,0.00039863287
124,0.9678252490615845,0.0003799336
125,0.9629177488708496,0.00037539034
126,0.9633928726196289,0.00035745936
127,0.9768901974487305,0.00030303493
128,0.8837518979072571,0.00024282669
