Training_Method,Test_Metric,Mean_Accuracy,Std_Dev
Standard MANN,Cosine,78.644,2.0303851851311374
Standard MANN,L-2,78.28,1.6128980128947963
Standard MANN,L-1,78.032,1.526858212146759
Standard MANN,L-inf,76.668,1.5855648835667382
Standard MANN,LSH,77.208,2.232222211160888
Noise-Aware MANN,Cosine,78.148,1.9680081300645051
Noise-Aware MANN,L-2,78.884,1.7058206236295765
Noise-Aware MANN,L-1,78.53999999999999,1.6607949903585302
Noise-Aware MANN,L-inf,77.36,1.775252094774148
Noise-Aware MANN,LSH,77.6,2.0893635394540584
Bayesian MANN,Cosine,72.96400000000001,1.2848283932105482
Bayesian MANN,L-2,76.284,0.5854775828330254
Bayesian MANN,L-1,75.35999999999999,0.8810902337445355
Bayesian MANN,L-inf,74.03200000000001,0.8599162749942545
Bayesian MANN,LSH,72.892,1.825227657033503
