Training_Method,Test_Metric,Mean_Accuracy,Std_Dev
Standard MANN,Cosine,77.216,1.1835134135277066
Standard MANN,L-1,75.96000000000001,1.1941725168500545
Standard MANN,L-inf,75.41279999999999,1.679989333299471
Standard MANN,LSH,76.3472,1.6615104453478453
Noise-aware MANN,Cosine,77.10400000000001,0.776535897431662
Noise-aware MANN,L-1,76.4272,1.0873244961831756
Noise-aware MANN,L-inf,75.88320000000002,1.2539305243912051
Noise-aware MANN,LSH,76.0112,0.7440361281550749
Bayesian MANN,Cosine,72.352,1.3053686069459431
Bayesian MANN,L-1,75.0368,1.33759043058778
Bayesian MANN,L-inf,73.4432,1.2767017506058334
Bayesian MANN,LSH,71.67999999999999,1.5330555110627937
